1910581,113.9981816667,22.6052233333,143.85001,
1910683,113.9981816667,22.6052233333,143.88000,
1910785,113.9981816667,22.6052233333,143.88000,
1910887,113.9981816667,22.6052233333,143.91000,
1910989,113.9981766667,22.6052065000,143.89999,
1911091,113.9981766667,22.6052065000,143.94000,
1911193,113.9981766667,22.6052065000,143.92999,
1911295,113.9981766667,22.6052065000,143.92999,
1911397,113.9981766667,22.6052065000,143.96001,
1911499,113.9981766667,22.6052065000,143.98000,
1911601,113.9981766667,22.6052065000,144.00000,
1911703,113.9981766667,22.6052065000,143.98000,
1911805,113.9981766667,22.6052065000,143.98000,
1911907,113.9981766667,22.6052065000,143.95000,
1912009,113.9981716667,22.6051950000,143.98000,
1912111,113.9981716667,22.6051950000,143.94000,
1912213,113.9981716667,22.6051950000,143.92999,
1912315,113.9981716667,22.6051950000,143.89999,
1912417,113.9981716667,22.6051950000,143.87000,
1912519,113.9981716667,22.6051950000,143.87000,
1912621,113.9981716667,22.6051950000,143.87000,
1912723,113.9981716667,22.6051950000,143.84000,
1912825,113.9981716667,22.6051950000,143.83000,
1912927,113.9981716667,22.6051950000,143.81000,
1913029,113.9981716667,22.6051950000,143.80000,
1913131,113.9981716667,22.6051950000,143.80000,
1913233,113.9981716667,22.6051950000,143.75000,
1913335,113.9981716667,22.6051950000,143.74001,
1913437,113.9981716667,22.6051950000,143.71001,
1913539,113.9981716667,22.6051950000,143.71001,
1913641,113.9981716667,22.6051950000,143.71001,
1913743,113.9981716667,22.6051950000,143.71001,
1913845,113.9981716667,22.6051950000,143.75999,
1913947,113.9981583333,22.6051866667,143.78999,
1914049,113.9981583333,22.6051866667,143.84000,
1914151,113.9981583333,22.6051866667,143.89000,
1914253,113.9981583333,22.6051866667,143.94000,
1914355,113.9981583333,22.6051866667,143.95000,
1914457,113.9981583333,22.6051866667,143.92999,
1914559,113.9981583333,22.6051866667,144.00000,
1914661,113.9981583333,22.6051866667,143.99001,
1914763,113.9981583333,22.6051866667,143.98000,
1914865,113.9981583333,22.6051866667,143.97000,
1914967,113.9981483333,22.6051816667,143.96001,
1915069,113.9981483333,22.6051816667,143.94000,
1915171,113.9981483333,22.6051816667,143.89000,
1915273,113.9981483333,22.6051816667,143.86000,
1915375,113.9981483333,22.6051816667,143.89999,
1915477,113.9981483333,22.6051816667,143.87000,
1915579,113.9981483333,22.6051816667,143.87000,
1915681,113.9981483333,22.6051816667,143.87000,
1915783,113.9981483333,22.6051816667,143.88000,
1915885,113.9981483333,22.6051816667,143.81000,
1915987,113.9981333333,22.6051816667,143.83000,
1916089,113.9981333333,22.6051816667,143.81000,
1916191,113.9981333333,22.6051816667,143.80000,
1916293,113.9981333333,22.6051816667,143.78999,
1916395,113.9981333333,22.6051816667,143.75999,
1916497,113.9981333333,22.6051816667,143.73000,
1916599,113.9981333333,22.6051816667,143.74001,
1916701,113.9981333333,22.6051816667,143.71001,
1916803,113.9981333333,22.6051816667,143.71001,
1916905,113.9981333333,22.6051816667,143.71001,
1917007,113.9981216667,22.6051816667,143.67999,
1917109,113.9981216667,22.6051816667,143.67000,
1917211,113.9981216667,22.6051816667,143.66000,
1917313,113.9981216667,22.6051816667,143.64999,
1917415,113.9981216667,22.6051816667,143.63000,
1917517,113.9981216667,22.6051816667,143.64000,
1917619,113.9981216667,22.6051816667,143.64000,
1917721,113.9981216667,22.6051816667,143.67000,
1917823,113.9981216667,22.6051816667,143.66000,
1917925,113.9981050000,22.6051783333,143.67999,
1918027,113.9981050000,22.6051783333,143.71001,
1918129,113.9981050000,22.6051783333,143.77000,
1918231,113.9981050000,22.6051783333,143.75000,
1918333,113.9981050000,22.6051783333,143.80000,
1918435,113.9981050000,22.6051783333,143.78999,
1918537,113.9981050000,22.6051783333,143.80000,
1918639,113.9981050000,22.6051783333,143.81000,
1918741,113.9981050000,22.6051783333,143.84000,
1918843,113.9981050000,22.6051783333,143.85001,
1918945,113.9980900000,22.6051716667,143.86000,
1919047,113.9980900000,22.6051716667,143.88000,
1919149,113.9980900000,22.6051716667,143.88000,
1919251,113.9980900000,22.6051716667,143.89000,
1919353,113.9980900000,22.6051716667,143.88000,
1919455,113.9980900000,22.6051716667,143.84000,
1919557,113.9980900000,22.6051716667,143.78000,
1919659,113.9980900000,22.6051716667,143.74001,
1919761,113.9980900000,22.6051716667,143.67000,
1919863,113.9980900000,22.6051716667,143.67000,
1919965,113.9980733333,22.6051633333,143.64000,
1920067,113.9980733333,22.6051633333,143.62000,
1920169,113.9980733333,22.6051633333,143.62000,
1920271,113.9980733333,22.6051633333,143.59000,
1920373,113.9980733333,22.6051633333,143.64000,
1920475,113.9980733333,22.6051633333,143.64000,
1920577,113.9980733333,22.6051633333,143.66000,
1920679,113.9980733333,22.6051633333,143.70000,
1920781,113.9980733333,22.6051633333,143.69000,
1920883,113.9980733333,22.6051633333,143.69000,
1920985,113.9980583333,22.6051581667,143.67999,
1921087,113.9980583333,22.6051581667,143.69000,
1921189,113.9980583333,22.6051581667,143.73000,
1921291,113.9980583333,22.6051581667,143.78000,
1921393,113.9980583333,22.6051581667,143.78999,
1921495,113.9980583333,22.6051581667,143.81000,
1921597,113.9980583333,22.6051581667,143.81000,
1921699,113.9980583333,22.6051581667,143.83000,
1921801,113.9980583333,22.6051581667,143.85001,
1921903,113.9980583333,22.6051581667,143.86000,
1922005,113.9980433333,22.6051516667,143.86000,
1922107,113.9980433333,22.6051516667,143.91000,
1922209,113.9980433333,22.6051516667,143.95000,
1922311,113.9980433333,22.6051516667,144.00000,
